,max_type,VIOLATION_rate,avg_house_rent_price,mus_count15,mus_count5,res_max_type,population,avg_house_sell_price,univ_count5,Y
11420,2,0.16171328671328672,1913.6571428571428,1.0,1.0,19,44354.0,383380.0,0.0,1
10039,2,0.1573576799140709,2395.0857142857144,130.0,130.0,20,24527.0,0.0,5.0,1
10305,2,0.264783759929391,2017.7,95.0,95.0,23,41749.0,385025.8823529412,3.0,1
10010,2,0.11942675159235669,3655.785714285714,111.0,111.0,25,31834.0,0.0,18.0,0
11219,2,0.10555216595485052,1985.6142857142856,34.0,34.0,18,92221.0,648303.5294117647,0.0,0
11417,2,0.15964343598055106,1916.9,0.0,0.0,18,28967.0,395909.4117647059,0.0,1
10021,2,0.10931899641577061,3509.885714285714,240.0,240.0,24,43631.0,0.0,28.0,0
10016,2,0.12,3542.614285714286,162.0,162.0,23,54183.0,785734.1176470588,20.0,0
10310,2,0.22567287784679088,2007.2142857142858,90.0,90.0,22,24962.0,387669.4117647059,2.0,1
10301,2,0.23325892857142858,2017.3285714285714,99.0,99.0,22,39706.0,405248.23529411765,4.0,1
11352,2,0.1287779237844941,0.0,55.0,55.0,2,0.0,0.0,0.0,0
10017,2,0.13855421686746988,3468.1,24.0,24.0,25,16575.0,703074.1176470588,0.0,0
11411,2,0.16083916083916083,1956.3285714285714,0.0,0.0,21,18556.0,381317.64705882355,0.0,1
11223,2,0.11859582542694497,1955.8714285714286,16.0,16.0,25,78731.0,654122.3529411765,0.0,0
11692,2,0.16941789748045177,1871.4857142857143,0.0,0.0,22,18540.0,289424.70588235295,0.0,1
10458,2,0.13296112489660877,0.0,74.0,74.0,18,79492.0,0.0,10.0,0
10023,2,0.13449508489722967,3693.4142857142856,142.0,142.0,24,60998.0,0.0,7.0,0
10032,2,0.12801724137931034,2399.214285714286,117.0,117.0,22,57331.0,0.0,5.0,0
11201,2,0.14864010120177104,2769.7285714285713,65.0,65.0,25,51128.0,765671.7647058824,26.0,1
11370,2,0.10258868648130393,2088.2571428571428,15.0,15.0,18,39688.0,506168.23529411765,5.0,0
11233,2,0.16619086460032625,2055.2714285714287,20.0,20.0,15,67053.0,460368.23529411765,0.0,1
11361,2,0.1697530864197531,2158.657142857143,1.0,1.0,25,28606.0,622469.4117647059,4.0,1
10308,2,0.27586206896551724,2082.5285714285715,37.0,37.0,18,27357.0,414375.29411764705,0.0,1
10082,2,0.11230585424133811,0.0,159.0,159.0,9,0.0,0.0,7.0,0
11364,2,0.1388235294117647,2073.657142857143,6.0,6.0,21,34555.0,0.0,5.0,0
10075,2,0.11695906432748537,3321.8285714285716,174.0,174.0,24,26121.0,0.0,14.0,0
10304,2,0.2238204833141542,2013.5428571428572,102.0,102.0,18,42193.0,389128.23529411765,5.0,1
11238,2,0.1287305122494432,2540.714285714286,69.0,69.0,25,49262.0,0.0,13.0,0
11356,2,0.2313915857605178,2047.7857142857142,21.0,21.0,19,23438.0,517921.17647058825,0.0,1
10015,2,0.1261061946902655,0.0,143.0,143.0,9,0.0,0.0,6.0,0
10469,2,0.15328778821520067,1686.6571428571428,33.0,33.0,18,66631.0,0.0,1.0,1
11229,2,0.12821782178217822,1941.8,9.0,9.0,25,80018.0,0.0,0.0,0
11224,2,0.13467545990975355,2007.0428571428572,27.0,27.0,23,47621.0,399915.29411764705,0.0,0
11412,2,0.14666666666666667,1948.8,0.0,0.0,15,34882.0,368218.82352941175,0.0,1
10474,2,0.07730147575544624,0.0,1.0,1.0,18,12281.0,0.0,0.0,0
10001,2,0.08147547628698824,3720.2285714285713,138.0,138.0,24,21102.0,0.0,11.0,0
11240,2,0.1359300476947536,0.0,64.0,64.0,9,0.0,0.0,23.0,0
11378,2,0.17237903225806453,2066.457142857143,2.0,2.0,21,34981.0,524630.5882352941,0.0,1
11385,2,0.15384615384615385,1988.9142857142858,0.0,0.0,24,98592.0,474996.4705882353,0.0,1
11215,2,0.15267175572519084,2580.1,36.0,36.0,25,63488.0,823895.2941176471,0.0,1
11358,2,0.22413793103448276,2171.5285714285715,16.0,16.0,22,37546.0,0.0,2.0,1
11375,2,0.13232104121475055,2014.0428571428572,19.0,19.0,23,68733.0,0.0,14.0,0
11429,2,0.16338028169014085,1993.4857142857143,2.0,2.0,10,25105.0,380738.82352941175,0.0,1
11357,2,0.22365988909426987,2118.0857142857144,14.0,14.0,18,39150.0,658068.2352941176,0.0,1
11360,2,0.1976284584980237,2085.5714285714284,1.0,1.0,19,18884.0,0.0,0.0,1
10309,2,0.15702479338842976,2078.157142857143,33.0,33.0,14,32519.0,461108.23529411765,0.0,1
11230,2,0.1414965986394558,1973.0142857142857,11.0,11.0,23,86408.0,638182.3529411765,0.0,0
10312,2,0.20945945945945946,2095.285714285714,39.0,39.0,17,59304.0,428344.70588235295,0.0,1
