,Address ZIP,Address City,DCA License Number,License Type,License Expiration Date
52610,10458,BRONX,1464076-DCA,Business,12/31/2018
52611,10016,NEW YORK,2029008-DCA,Individual,02/28/2019
52612,11372,JACKSON HEIGHTS,1469744-DCA,Business,12/31/2017
52613,11224,BROOKLYN,2014386-DCA,Business,02/28/2019
52614,11375,FOREST HILLS,2049142-DCA,Individual,05/31/2019
52615,10471,BRONX,1325271-DCA,Individual,02/28/2019
52616,11215,BROOKLYN,2042179-DCA,Business,03/31/2018
52617,11238,BROOKLYN,1221915-DCA,Individual,02/28/2019
52618,10454,BRONX,1196223-DCA,Individual,02/28/2019
52619,10012,NEW YORK,2052901-DCA,Individual,02/28/2019
52620,11010,FRANKLIN SQUARE,2048240-DCA,Business,02/28/2019
52621,11224,BROOKLYN,1278489-DCA,Business,03/15/2018
52622,11428,QUEENS VLG,1020795-DCA,Individual,02/28/2019
52623,10472,BRONX,2003700-DCA,Business,07/31/2019
52625,11040,NEW HYDE PARK,0998027-DCA,Business,02/28/2019
52626,11219,BROOKLYN,1327373-DCA,Business,12/31/2017
52627,11435,BRIARWOOD,2009241-DCA,Individual,02/28/2019
52628,11234,BROOKLYN,1381944-DCA,Business,03/15/2019
52629,10704,YONKERS,1378366-DCA,Individual,02/28/2019
52630,10458,BRONX,2038893-1-DCA,Business,12/31/2017
52631,10308,STATEN ISLAND,1156404-DCA,Individual,02/28/2019
52632,10021,NEW YORK,2036587-DCA,Business,03/31/2019
52633,10029,NEW YORK,2058475-DCA,Individual,07/31/2018
52634,10306,STATEN ISLAND,2018482-DCA,Individual,02/28/2019
52635,10454,BRONX,1158713-DCA,Business,02/28/2019
52636,10306,STATEN ISLAND,0791189-DCA,Individual,05/31/2018
52637,10463,BRONX,1153306-DCA,Business,12/31/2018
52638,11206,BROOKLYN,1460696-DCA,Business,02/28/2019
52640,11561,LONG BEACH,1026502-DCA,Individual,05/31/2019
52641,10028,NEW YORK,1227369-DCA,Individual,02/28/2019
52643,11354,FLUSHING,0959312-DCA,Individual,02/28/2019
52644,10021,NEW YORK,1474914-DCA,Business,12/31/2018
52645,10314,STATEN ISLAND,1388971-DCA,Business,02/28/2019
52646,11694,ROCKAWAY PARK,1429248-DCA,Individual,10/31/2018
52647,10011,NEW YORK,2040957-DCA,Business,02/28/2019
52648,11220,BROOKLYN,2032737-DCA,Individual,02/28/2019
52649,11420,SOUTH OZONE PARK,0927494-DCA,Business,02/28/2019
52650,10465,BRONX,0827591-DCA,Individual,05/31/2019
52651,11432,JAMAICA,1239588-DCA,Individual,02/28/2019
52652,11358,FLUSHING,1309912-DCA,Individual,02/28/2019
52653,11235,BROOKLYN,1416827-DCA,Individual,02/28/2019
52654,10029,NEW YORK,1473316-DCA,Business,07/31/2019
52655,10075,NEW YORK,0738278-DCA,Business,12/31/2017
52656,10009,NEW YORK,1054488-DCA,Business,12/31/2018
52657,10005,NEW YORK,0789699-DCA,Business,03/31/2018
52658,11214,BROOKLYN,1386132-DCA,Individual,02/28/2019
52660,10601,WHITE PLAINS,1380196-DCA,Business,02/28/2019
52661,11238,BROOKLYN,2054084-DCA,Business,02/28/2019
52662,11220,BROOKLYN,2043752-1-DCA,Business,12/31/2017
52663,11385,RIDGEWOOD,1308395-DCA,Individual,10/31/2018
52664,11369,EAST ELMHURST,2017368-DCA,Business,02/28/2019
52665,10456,BRONX,1204793-DCA,Business,07/31/2019
52666,11229,BROOKLYN,2060008-DCA,Individual,09/30/2018
52667,11354,FLUSHING,1345636-DCA,Business,03/15/2019
52668,11214,BROOKLYN,2054683-DCA,Individual,02/28/2019
52669,11356,COLLEGE POINT,1309315-DCA,Business,02/28/2019
52670,11235,BROOKLYN,1390575-DCA,Business,03/31/2018
52671,11367,FLUSHING,1416456-DCA,Business,12/31/2018
52672,11379,MIDDLE VILLAGE,2035665-DCA,Business,03/31/2018
52673,11232,BROOKLYN,1391142-DCA,Business,05/01/2018
52674,11236,BROOKLYN,2004563-DCA,Individual,02/28/2018
52675,11372,JACKSON HEIGHTS,2049557-DCA,Business,03/31/2018
52676,10469,BRONX,2039696-DCA,Business,12/31/2017
52677,10040,NEW YORK,1322200-DCA,Individual,02/28/2019
52678,10023,NEW YORK,1050129-DCA,Business,12/31/2017
52679,10301,STATEN ISLAND,1020248-DCA,Business,07/31/2019
52680,11218,BROOKLYN,1161664-DCA,Business,12/31/2017
52681,11435,JAMAICA,1326058-DCA,Business,02/28/2019
