,population,zipcode,geo_id
394749,93,13677,8600000US13677
395215,1321,11972,8600000US11972
397356,2126,10973,8600000US10973
398535,3889,13329,8600000US13329
399800,12635,11766,8600000US11766
399820,1131,13684,8600000US13684
401680,12014,11753,8600000US11753
402299,2357,13658,8600000US13658
403422,1948,12207,8600000US12207
404608,4149,14891,8600000US14891
410702,2338,13110,8600000US13110
411368,609,12861,8600000US12861
411829,1166,14037,8600000US14037
412222,27582,12302,8600000US12302
414288,766,13473,8600000US13473
414652,861,12473,8600000US12473
414862,62008,11210,8600000US11210
414896,2288,14476,8600000US14476
415247,1722,12192,8600000US12192
415308,167,12507,8600000US12507
416126,2539,13746,8600000US13746
416431,5033,14136,8600000US14136
420099,1391,13650,8600000US13650
421310,30165,10704,8600000US10704
421389,1534,13402,8600000US13402
423759,13043,14843,8600000US14843
423948,479,12085,8600000US12085
424364,29857,12303,8600000US12303
424931,16575,10017,8600000US10017
425473,674,12190,8600000US12190
425646,17,12933,8600000US12933
427498,2018,14138,8600000US14138
427589,33048,11510,8600000US11510
428745,13261,11742,8600000US11742
429203,9506,11769,8600000US11769
430663,47226,10950,8600000US10950
430770,8691,14204,8600000US14204
430980,15551,13031,8600000US13031
431244,3754,14823,8600000US14823
432099,987,12130,8600000US12130
432201,4299,11944,8600000US11944
432878,3629,13787,8600000US13787
434442,865,12485,8600000US12485
434583,28967,11417,8600000US11417
436129,63393,10701,8600000US10701
438777,10158,12210,8600000US12210
439243,866,13325,8600000US13325
439417,10753,12566,8600000US12566
439503,1419,13315,8600000US13315
439533,22920,14618,8600000US14618
439657,3442,13825,8600000US13825
440551,3826,14882,8600000US14882
441347,6364,12972,8600000US12972
441728,430,13670,8600000US13670
442244,12435,10803,8600000US10803
442365,0,10271,8600000US10271
442611,2222,13459,8600000US13459
445031,3329,13668,8600000US13668
445085,9041,11797,8600000US11797
445395,4080,12944,8600000US12944
445778,27007,14424,8600000US14424
446550,137,11770,8600000US11770
446702,176,13484,8600000US13484
446774,17568,12189,8600000US12189
446802,13328,11598,8600000US11598
447774,335,12792,8600000US12792
449199,1271,13615,8600000US13615
449786,67094,11746,8600000US11746
450270,1149,13810,8600000US13810
450602,4769,10993,8600000US10993
451327,1361,13490,8600000US13490
452501,1956,14838,8600000US14838
455382,4135,10921,8600000US10921
456474,8680,13036,8600000US13036
460327,1905,14101,8600000US14101
461832,50502,10461,8600000US10461
462108,13243,13209,8600000US13209
463591,310,13472,8600000US13472
464876,41788,11228,8600000US11228
465056,27173,14623,8600000US14623
465531,38158,13601,8600000US13601
467309,39688,11370,8600000US11370
468492,30112,13045,8600000US13045
469091,127,12811,8600000US12811
469497,919,14769,8600000US14769
471430,165,13342,8600000US13342
472953,7085,10994,8600000US10994
476902,1632,12059,8600000US12059
477138,1040,10919,8600000US10919
477402,87757,11234,8600000US11234
478345,12610,14605,8600000US14605
478958,16821,11788,8600000US11788
479252,33439,12901,8600000US12901
479935,8205,13340,8600000US13340
480633,3061,14840,8600000US14840
484643,47621,11224,8600000US11224
484800,38352,10573,8600000US10573
485063,59283,10024,8600000US10024
485543,1039,14860,8600000US14860
485680,3076,14807,8600000US14807
485732,11759,13827,8600000US13827
486280,79132,11235,8600000US11235
486374,24655,11784,8600000US11784
487002,0,10154,8600000US10154
488804,57331,10032,8600000US10032
489275,45100,14120,8600000US14120
490204,35321,11566,8600000US11566
491937,1506,12067,8600000US12067
494934,518,12177,8600000US12177
495146,3532,13480,8600000US13480
495226,1318,14066,8600000US14066
495259,12390,13066,8600000US13066
495903,14870,14063,8600000US14063
497270,175,12165,8600000US12165
497419,2156,14726,8600000US14726
501215,596,13141,8600000US13141
502361,1809,10526,8600000US10526
